,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838,0.300532364373838
error_90,0.311261354252684,0.249715909090909,0.288990092681368,0.105555555555556,0.314906946747743,0.334512578616352,0.217743600330305,0.279987760097919,0.25511583011583,0.283855799373041,0.233030303030303,0.234253875968992,0.243679308050565,0.255225122179474,0.279695540308748,0.256704980842912,0.262298470442331,0.253095238095238,0.279318181818182,0.258486732010519,0.213022781366882,0.260668013788185,0.213843111404087
error_80,0.311064567384082,0.210480444492864,0.288990092681368,0.105555555555556,0.318295739348371,0.309823155567836,0.078693181818182,0.253896103896104,0.25511583011583,0.276883116883117,0.233030303030303,0.234146341463415,0.103189749182116,0.227455716586151,0.243740049211174,0.245341614906832,0.225,0.188779110797459,0.135572139303483,0.168458417849899,0.18433734939759,0.205024769992923,0.180025103102026
error_70,0.324726134585289,0.151598532494759,0.34167921686747,0.105555555555556,0.335505430242272,0.343822843822844,0,0.266666666666667,0.108510638297872,0.257059314954052,0.127380952380952,0.15983371559633,0.103189749182116,0.15207837392419,0.23274622573688,0.229602220166512,0.176079734219269,0.188779110797459,0.135572139303483,0.160185185185185,0.145864661654135,0.197916666666667,0.11656746031746
error_60,0.308528428093646,0.079606923909124,0.34167921686747,0.105555555555556,0.349254426840634,0.322083333333333,0,0.16701998788613,0.108510638297872,0.237516869095816,0.127380952380952,0.15983371559633,0.006024096385542,0.098551890587289,0.219543693499785,0.192937853107345,0.109876543209877,0.188779110797459,0.151601239669422,0.095833333333333,0.132425383946682,0.098998887652948,0.062708565072303
error_50,0.281981605351171,0.092140921409214,0.34167921686747,0.105555555555556,0.279151404151404,0.310990338164251,0,0.148051948051948,0.108510638297872,0.172697368421053,0.127380952380952,,0.006024096385542,0.098551890587289,0.116300366300366,0.199146514935989,0.109876543209877,,0.037290379523389,0.107483492296405,0.047385620915033,0.063131313131313,0
error_40,0.267613636363636,0.022058823529412,0.073333333333333,0.105555555555556,0.295849420849421,0.3125,0,0.083405358686258,0.008928571428571,0.150096525096525,0.078985507246377,,0.006024096385542,,0.14,0.199146514935989,0.114219114219114,,0,0.012658227848101,0.046666666666667,0,0
error_30,0.191016333938294,0,0.073333333333333,0.105555555555556,0.27683615819209,0.359070464767616,0,0.099673202614379,0.008928571428571,0.139937106918239,0.021739130434783,,0,,,0.174747474747475,0.065860215053764,,0,0,0.04125,0,0
error_20,0.217171717171717,0.013513513513514,0.073333333333333,0.016666666666667,0.221774193548387,0.214615384615385,0,0.023809523809524,0,0.073190789473684,0.037037037037037,,0,,,,0.012820512820513,,,,,,
error_10,0.176691729323308,0,0,0,0.033333333333333,0.029411764705882,0,0.043478260869565,0,0,,,,,,,,,,,,,
