,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,rvalue,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error_90,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,,0,,0
error_80,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,,0
error_70,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,,0
error_60,0,0,0,0,0,0,0,0,0,0.002604166666667,0,,,,0,0,0,0,,0,,0,,
error_50,0,0,0,0,0,0,0,0,0,0,0,,,,0.003289473684211,0,,0,,0,,0,,
error_40,0,0,0,0,0,0,0,0,0,0,0,,,,0.003289473684211,0,,0,,,,0,,
error_30,0,0,0,0,0.002645502645503,0,0.003472222222222,0,0,0,0,,,,,,,,,,,,,
error_20,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
error_10,0,0.010416666666667,,0,0,0,,0,,0,,,,,,,,,,,,,,
