,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373,0.299494455316373
error_90,0.277777777777778,0.252152641878669,0.387445887445887,0.318840579710145,0.299771602588504,0.268588873812754,0.210176125244618,0.283561643835616,0.266788766788767,0.286837623960733,0.278099173553719,0.265350877192982,0.259344262295082,0.26781814572166,0.303996003996004,0.273936170212766,0.315013562920156,0.25852534562212,0.253853232114102,0.24537037037037,0.261054788610871,0.29489955491399,0.243247676325861
error_80,0.281253731343284,0.21484375,0.387445887445887,0.327166276346604,0.286435786435786,0.268588873812754,0.094184251158003,0.262573099415205,0.266788766788767,0.270947892118356,0.278099173553719,0.236495388669302,0.20974025974026,0.223063973063973,0.30760289894708,0.254084741068956,0.302083333333333,0.166666666666667,0.254010695187166,0.277777777777778,0.275272025272025,0.296605122096486,0.246610565684899
error_70,0.237037037037037,0.152060671058679,0.387445887445887,0.304169202678028,0.272508163582647,0.234126984126984,0.021186440677966,0.254406779661017,0.266788766788767,0.272751653853031,0.232683982683983,0.194444444444444,0.20974025974026,0.203623188405797,0.274178403755869,0.222089314194577,0.302083333333333,0.166666666666667,0.259314456035767,0.257716701902748,0.282761529808774,0.301920768307323,0.217493796526055
error_60,0.206060606060606,0.064814814814815,0.387445887445887,0.321290322580645,0.282978723404255,0.233049205734211,0,0.262123197903014,0.179950186799502,0.276003276003276,0.232683982683983,0.194444444444444,0.056603773584906,0.208023159636063,0.263008130081301,0.226377390807879,0.302083333333333,0.166666666666667,0.304654211733858,0.223395445134576,0.304435483870968,0.330357142857143,0.222938144329897
error_50,0.240842490842491,0.028495887191539,0.387445887445887,0.395652173913043,0.303643099722136,0.233049205734211,0,0.238562091503268,0.179950186799502,0.292535051155741,0.232683982683983,0.194444444444444,0.056603773584906,0.183088235294118,0.25970695970696,0.291666666666667,0.09375,0.166666666666667,0.291053921568627,0.16021602160216,0.260210396039604,0.320054945054945,0.201923076923077
error_40,0.186868686868687,0,0.387445887445887,0.391884951206985,0.256043956043956,0.220779220779221,0,0.280352177942539,0.179950186799502,0.270833333333333,0.110182370820669,,0.056603773584906,0.238888888888889,0.191607684529828,0.241626794258373,0.09375,,0.198692152917505,0.243137254901961,0.276255707762557,0.285714285714286,0.190384615384615
error_30,0.25019305019305,0.010416666666667,0.387445887445887,0.389655172413793,0.129824561403509,0.260416666666667,0,0.295161290322581,0.073529411764706,0.255769230769231,0.110182370820669,,0.056603773584906,0.089285714285714,0.191607684529828,0.046875,0.09375,,0.18161094224924,0.03448275862069,0.260227272727273,0.008620689655172,0.210010319917441
error_20,0.187830687830688,0,0,0.215811965811966,0.214285714285714,0.236111111111111,0,0.239393939393939,0.065217391304348,0.130252100840336,0.119047619047619,,0.190909090909091,0.121951219512195,0.25,,0.09375,,0.203448275862069,0.094117647058824,0.190058479532164,0.01219512195122,0.03448275862069
error_10,0.111111111111111,0,0,0.169642857142857,0.275,0.152173913043478,0,0.0625,0.190909090909091,0.122222222222222,0.119047619047619,,0.190909090909091,0.045454545454546,,,,,,,0.03125,0.03125,0.041666666666667
