,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636,0.471906007443636
error_90,0.474934101436935,0.216574218481056,0,0.461557421564941,0.416994541198363,0.280744759866662,0.406330328243274,0.163040521312458,0.088278163341706,0.322215198042687,0.059251153608666,0.010067635650247,0.028178836502604,0.16653820692264,0.144586599581965,,,0.086110272643133,0.072081418495119,0.058397404259913,0.048466421683533,0.082301656194885,0.02205799279205
error_80,0.464785175129729,0.305945115059451,0,0.146694009856779,0.465190484761011,0.107188009123493,0.291297290134499,0.092664674949025,0.088278163341706,0.082301727408013,0.059251153608666,0.010067635650247,0.000345303867403,0.028339251375588,0.09143671723857,,,0.086110272643133,0.003125955259136,0.009219589367361,0.002708610190938,0.038000910105684,0.006886079132855
error_70,0.464761904761905,0.102488583857981,0,0.249839265605503,0.237429341697856,0.190172488611562,0.149304606723273,0.042225919024287,0.088278163341706,0.136398459516207,0.059251153608666,0.000837223320297,0.000345303867403,0.028339251375588,0.274351260437994,,,0.00254303599374,0.000477099236641,0.002840192502948,0.000710044069508,0,0.004209167893031
error_60,0.45001570499166,0.122800299773191,0,0.059910932321344,0.287397844108828,0.402672997450101,0.111061505364377,0.108679258025303,0.088278163341706,0.048911680556208,0.059251153608666,0.000837223320297,0.000345303867403,0.013131121109069,0.425965374991547,,,0.00254303599374,0.001916757940854,0,0,0,0
error_50,0.206963958679105,0,0,0.420759556008467,0.080587059589105,0.445472552348613,0,0.066597503789282,0.088278163341706,0.01863229811677,0,0.000837223320297,0.000345303867403,0.0087688587018,0.096341963807437,,,0.00254303599374,0,0,0,0,0
error_40,0.358307210031348,0,0,0.341982069360339,0.076981632931899,0.087599027418276,0,0.041223681467584,0.017585352297127,0.027467353350501,0,0.000837223320297,0,0.0087688587018,0.304489393483176,,,0.00254303599374,0,0,0.002480009262979,0,0
error_30,0.205345984954384,0,0,0.382803085675905,0.051745617344001,0.230303311237813,0,0,0.017585352297127,0.029806350497318,0,,0,0.0034924330617,0.23431638570912,,,0.00254303599374,0,0,0,0,0
error_20,0.312608338148362,0,0,0.39637861494894,0.35563025210084,0.152544101298694,0,0.003362045012503,0,0,0,,0,0,0.045869790435008,,,,0.000851788756388,0,0,0,0.000776397515528
error_10,0.38526172007168,0,0,0.21803594351733,0.219131433157584,0.235119047619048,0,0,0,0,0,,0.057444496196243,0,0.010664682539683,,,,0,0,0,0,0
