,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151,0.275116495806151
error_90,0.201406328478152,0.16506968641115,0.038461538461539,0.021276595744681,0.019607843137255,0.06859410430839,0.201184683731754,0.01948051948052,0,0.243536371603856,0,0.035863377609108,0.078397212543554,0.045760808534531,0.176806722689076,,,0.035914998243766,0.034444444444445,0.043290043290043,0.052472527472528,0.118341307814992,0.05661525974026
error_80,0.099397590361446,0.046217205613179,0.038461538461539,0.092261904761905,0.023809523809524,0.0726401179941,0.069871794871795,0.003597122302158,0,0.061666666666667,0,0.008547008547009,0.003731343283582,0.049479166666667,0.054461538461539,,,0.11010101010101,0,0,0,0.006896551724138,0
error_70,0.058622828784119,0.003759398496241,0.038461538461539,0.03448275862069,0.203448275862069,0.0726401179941,,0,0,0.18384074941452,0.004132231404959,0.008547008547009,0.003731343283582,0.048130081300813,0.056636155606407,,,0.11010101010101,0,0,0,0,0
error_60,0.042501112594571,0,0.038461538461539,0.038461538461539,0.111111111111111,0.224099099099099,,0,0.004672897196262,0,0.004132231404959,0.008547008547009,0.00990099009901,0.071171171171171,0.073500967117988,,,0.11010101010101,0,0,0,0,0.008196721311475
error_50,0.010752688172043,0,0.208333333333333,0,0.095441595441596,0.199324324324324,,0,,0.21011396011396,0.009433962264151,,0.00990099009901,0.098371777476255,0.087053571428571,,,0.11010101010101,0.068313953488372,0,0.021276595744681,0,0.009708737864078
error_40,0.216666666666667,0,0.208333333333333,0,0.07328190743338,0.203571428571428,,0,,0,,,,0.098371777476255,0.087053571428571,,,,0,0,0.024691358024691,0,0.013888888888889
error_30,0,0.015625,0.208333333333333,0,0.233333333333333,0.277777777777778,,0,,0.189922480620155,,,,,,,,,,0,0.036363636363636,0,0.015873015873016
error_20,,,0.208333333333333,0,0.210714285714286,0.045454545454546,,,,0.148717948717949,,,,,,,,,,,0.051282051282051,0,0.023809523809524
error_10,,,0.208333333333333,0,0.158823529411765,0.1,,,,0,,,,,,,,,,,,,
