,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556,0.200555555555556
error_90,0.327605956471936,0.217359232849766,0.090909090909091,0.185245901639344,0.296005564387917,0.242550422901757,0.189504373177842,0.206071019473081,0.225812547241119,0.214675147660154,0.22999222999223,0.15719696969697,0.205600038587691,0.216536796536797,0.225666799363057,,,0.216819221967963,0.228548728813559,0.220173961840629,0.223809523809524,0.221348493703841,0.224464831804281
error_80,0.416035353535354,0.181000536960802,0.090909090909091,0.272578728461081,0.259865005192108,0.347466216216216,0.165601503759399,0.192579505300353,0.225812547241119,0.20954045954046,0.22999222999223,0.196911196911197,0.246065699006875,0.216536796536797,0.213793103448276,,,0.216819221967963,0.155102040816327,0.150197628458498,0.145569620253165,0.148535564853556,0.160944206008584
error_70,0.454545454545455,0.136910377358491,0.090909090909091,0.240549828178694,0.361263736263736,0.456924267682782,0.133333333333333,0.197211155378486,0.225812547241119,0.20021645021645,0.22999222999223,0.23098633392751,0.246065699006875,0.192148760330578,0.206692913385827,,,0.222205882352941,0.155102040816327,0.150197628458498,0.145569620253165,0.148535564853556,0.160944206008584
error_60,0.34421768707483,0.083668122270742,0.090909090909091,0.235887096774193,0.243027888446215,0.242063492063492,0.146130952380952,0.224805847418913,0.225812547241119,0.183901292596945,0.306295399515738,0.23098633392751,0.246065699006875,0.219885027436634,0.194570135746606,,,0.222205882352941,0.17015140591204,0.141419491525424,0.153098739495798,0.142857142857143,0.167410714285714
error_50,0.330994897959184,,0.090909090909091,0.227053140096618,0.236842105263158,0.233333333333333,0.148876404494382,0.225520833333333,0.258258258258258,0.170860215053764,0.306295399515738,,0.248529411764706,0.213584288052373,0.192307692307692,,,0.222205882352941,0.17015140591204,0.141419491525424,0.153098739495798,0.134109916367981,0.095454545454546
error_40,0.337861524978089,,0.090909090909091,0.233333333333333,0.24251497005988,0.241071428571429,0.016666666666667,0.246875,0.258258258258258,0.123688811188811,0.306295399515738,,0.248529411764706,0.198979591836735,0.190972222222222,,,0.222205882352941,0.172275641025641,0.141419491525424,0.153098739495798,0.134109916367981,0.095454545454546
error_30,0.469672131147541,,0.090909090909091,0.209016393442623,0.229838709677419,0.224,0.022058823529412,0.182926829268293,0.258258258258258,0.022058823529412,0.327868852459016,,0.248529411764706,0.198979591836735,0.150485436893204,,,,0.145004555116915,0.137426900584795,0.159917638984214,0.152762328513163,0.098269742679681
error_20,0.46141975308642,,0.090909090909091,0.19375,0.207317073170732,0.198795180722892,0.058230683090706,0.146341463414634,0.150943396226415,0.021276595744681,0.327868852459016,,0.248529411764706,0.130769230769231,0.137254901960784,,,,0.035628019323672,0.09160756501182,0.123086734693878,0.07843137254902,0.127075351213282
error_10,,,0.090909090909091,0.223684210526316,0.2375,0.231707317073171,0.035714285714286,0.209302325581395,0.354838709677419,0.046536796536797,0.37037037037037,,0.1875,,0.236842105263158,,,,0.066666666666667,0.117647058823529,0.071428571428571,0.057692307692308,0.02
