,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error_90,0,0,0.013333333333333,0,0,0,0,0.003267973856209,0.003289473684211,0,0,0,0,0,0,0,0,0,0,0,0.003355704697987,0,0
error_80,0,0,0.013333333333333,0,0,0,0,0.003355704697987,0,0,0,0,0,0.003846153846154,0.005952380952381,0,0,0,0,0,0.004065040650407,0,0
error_70,0,0,0.013333333333333,0,0,0,0,0.003378378378378,0,0,0,,0,0,0.005952380952381,0,0,,0,0,0,0,0
error_60,0,0,0.008771929824561,,0,0,0,0,0,0,0,,,,0.005952380952381,0.038461538461539,0,,0,0,0,0,0
error_50,0,0,0,,0,0,0,0,0.008264462809917,0,0,,,,0.005952380952381,0.038461538461539,0,,0,0,0.012820512820513,0,0
error_40,,,0,,0,0.018987341772152,0,0,,0,0,,,,0,0.038461538461539,0,,0,0,0.012820512820513,0,0
error_30,,,0,,0.054054054054054,0.026785714285714,0,0,,0,,,,,,,0,,0,,0.012820512820513,0,0
error_20,,,0,,0,0.0125,0,0,,0,,,,,,,,,0,,,,
error_10,,,0.045454545454546,,0,0.027777777777778,0,0,,0,,,,,,,,,,,,,
