,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7
error_total,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235,0.115412010932235
error_90,0.133771493879711,0.081983304845266,0.059693971046363,0.101999274766362,0.11080801844433,0.128627740147713,0.064410339158415,0,0.006185770043327,0.095798632981081,0,0.003261413165259,0.000737495655893,0,0.11333757606312,0,0.112217124126868,0.032245354827819,0.000817113400071,0.010054965639818,0.006984930557321,0.008134665190346
error_80,0.144393814437019,0.047945613597451,0.059693971046363,0.122781002451905,0.100785600897441,0.112371846052146,0.015490237077307,0,0.004172661870504,0.080922544924047,0.003164154383029,0.00111040381404,0,0.001790577863248,0.119880856251766,0.003217802848125,0.112217124126868,0.032245354827819,0.000392241614101,0,0.003542966015634,0.0002608922515
error_70,7.01852891633603E-05,0,0.059693971046363,0.120687810506848,0.020133886646897,0.10723262511512,0,0,0.000318167356029,0.067682633910865,0.003832146072016,,0,7.76759359950585E-05,0.118529809105849,0,0.112217124126868,,0.011632200886263,0.000656380282251,0.001277630206024,0
error_60,0,0,0.059693971046363,0.029684426812346,0.094051365267779,0.104074969257516,0,0.000170039108995,0,0.05821420494928,0,,0,0,0.108324073155093,0.000349772647779,0.112392024876669,,0,0,0,0.000437828371278
error_50,8.47026935456574E-05,0,0.059693971046363,0.008250647014475,0.022469033496469,0.110536185780485,0,0.004925474126741,0,0.056649286336571,0.000104144969798,,,0.000365440098198,0.099848624967829,0,0.129153122544392,,0.001802406347861,0.009299307958478,0.000578822175571,0
error_40,0,0,0.059693971046363,0.01957037155979,0.038949841343726,0.098840657232229,0,0,0,0,0,,,0,0.006041030659792,0.026582882757582,0.129153122544392,,,,0,0.00030039050766
error_30,0,0,0.059693971046363,0.000352360817477,0.053956487367598,0,0,0,0,0.000969897135942,0,,,0,0.006041030659792,0,0.11186709918858,,,,,
error_20,0,0,0.059693971046363,0.019962851872553,0.034046376532274,0,0,0,0,0,0,,,0,0,0.011024337333062,0.027065527065527,,,,,
error_10,0,0,0.059693971046363,0.004651162790698,0.075781420566189,0.003385478626378,0,0,0,0,0,,,0,0,0.000786163522013,0,,,,,
