,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012,0.171722380275012
error_90,0.150484152989406,0.094732188904443,0.162612715010987,0.163888888888889,0.162560885608856,0.160416666666667,0.076436307982105,,0.072933933222827,0.146291187739464,0.072577978617877,0.110904555349,0.059038901601831,0.151601983549604,0.181719995648728,0.067836257309942,,0.056360708534622,0.101407801629304,0.089550264550265,0.099005245602951,0.097461455294065,0.098985294117647
error_80,0.085565476190476,0.004,0.141139657444005,0,0.156422535211268,0.166205533596838,0.015017782991639,,0.072933933222827,0.123227689741451,0.072577978617877,0.06271004480956,0.059038901601831,0.151592548076923,0.195411255411256,0.067836257309942,,0.056360708534622,0.040910454477276,0.026104070660522,0.035160702074311,0.040337974399281,0.016575060116798
error_70,0.023116966422421,0,0.141139657444005,0,0.14527027027027,0.166134919216928,0.005208333333333,,0.030185863519197,0.115431704460769,0.033280554476743,,0.022991732162907,0.156609195402299,0.189583333333333,0.067836257309942,,0.056360708534622,0.020082795327978,0.002450980392157,0.004926108374384,0.002415458937198,0
error_60,0,0,0.141139657444005,0,0.139079301075269,0.15,0.005952380952381,,0.030185863519197,0.116284059214761,0.022292993630573,,0.004545454545455,0.144547622488799,0.202822205297453,0.067836257309942,,,0.009384113913193,0,0,0.0025,0.002450980392157
error_50,0,0,0.141139657444005,0,0.105930118110236,0.134926717118498,0,,0.004347826086957,0.11981658692185,0,,0.004545454545455,0.162119920431941,0.204068483063328,0,,,0.010476190476191,0.003086419753086,0,0,0
error_40,0,0,0.141139657444005,0,0.121052631578947,0.266666666666667,0,,0,0.121586134453781,0,,,0.180928270042194,0.169047619047619,0,,,0.012876062786135,0.003649635036496,0,0,0
error_30,0,0,0.12406015037594,0,0.105686546463246,0.266666666666667,0,,0,0.110372340425532,0,,,0.194852941176471,0.169047619047619,0,,,0,0,0,0,0
error_20,0.008695652173913,0,0.12406015037594,0,0.120639534883721,0.266666666666667,0,,0,0.143387314439946,0,,,0.146428571428571,0.30952380952381,0,,,0,0,0,0,0
error_10,,,0.12406015037594,0,0.100490196078431,0.266666666666667,0,,0,0.022727272727273,0,,,,0.30952380952381,0,,,0,0,0,0,0
