,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642,0.000666444740642
error_90,0,0,0.000467508181393,0.000743525021949,0.000924732457245,0.000925385353177,0,0,0,0,0,,,0.000187899285983,0.000252143217347,0,0.000863930885529,,,,0,,
error_80,0,0,0.000467508181393,0.001250017578372,0.001248966139372,0.000831100773616,0,0,0,0,0,,,0.000236406619385,0.000252143217347,0,0.000863930885529,,,,0,,
error_70,0,0,0,0,0.001188522694184,0.001422475106686,0,0,0,0,0,,,0.000293083235639,0.000252143217347,,0.000981354268891,,,,0,,
error_60,0,0,0,0,0.001113288441708,0.001383886888089,0,0,0,0,0,,,0.000396510705789,0,,0.000981354268891,,,,0,,
error_50,0,0,0,0,0.001001577367685,0.001662906125149,0,0,0,0,0,,,0.000396510705789,0,,0.000981354268891,,,,0,,
error_40,0,0,0,0,0,0.002079688640504,0,0,0,0,0,,,0,0,,0.000981354268891,,,,0,,
error_30,0,0,0,0,0,0.001111222233334,0,0,0,0,0,,,0,0,,0,,,,0,,
error_20,0,0,0,0,0,0.000854700854701,0,0,0,0,0,,,,0,,0,,,,,,
error_10,0,0,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,
