,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716,0.075551304166716
error_90,0.026081830762425,0.005772151531956,0.000945179584121,0.021503729420117,0.020080321285141,0.058188304518759,0.008067823843113,0.005317633801408,0,0.018049863754372,0.001789976133652,0.002160833180624,0.001210653753027,0.005514268429398,0.027344191833503,0.000622406639004,0.051658633035952,0.001410437235543,0.000562429696288,0.012554179427937,0.000745357885681,0.006930910121401,0.001321935254071
error_80,0.013107165504122,0,0.000945179584121,0.013358558242286,0.046152840711049,0.018276256751052,0,0.002771476422752,0,0.006916213357847,0,0.000931338507365,0,0.001836807393737,0.021473779242066,0.000215146299484,0.043138712930646,0.001410437235543,0,0,0.004647510923845,0,0.002142857142857
error_70,0.009400183399259,0,0.000945179584121,0.049404761904762,0.033640505885446,0.021255201308167,0,0,0,0.025899025090463,0,,0,0.000480307396734,0.001046572475144,0,0.043138712930646,,0.000956022944551,0,0,0,0
error_60,0.016046542521073,0,0.000945179584121,0.017340955347735,0.010230348317251,0.012976864971732,0,0,0,0,0,,,0.000263713080169,0.000282965478212,0,0.052352860898188,,0,0.000254194204372,0,0,0
error_50,0.006520119225037,0,0.000945179584121,0.0348427460707,0.00466931744344,0.003882204600006,0,0,0.00030525030525,0.002557544757033,0,,,0.000589970501475,0,0,0.052352860898188,,0,0,0,0,0
error_40,0.001941685765215,0,0.000945179584121,0.002076411960133,0.030906422088762,0.002131287297528,0,0,0,0.001865671641791,0,,,0.000344589937974,0.00081103000811,0.006159074015079,0.147641831852358,,0.000671591672263,0,0.000332667997339,0,0
error_30,0,0,0.000945179584121,0.011123011769341,0.006528427048658,0.001111111111111,0,0,0,0,0,,,0.000937207122774,0.00709219858156,0.006159074015079,0.147641831852358,,0,0,0,0,0
error_20,0.001572327044025,0,0.000945179584121,0,0.000753012048193,0.012546147433607,0,0,0,0,0,,,,0.00709219858156,0.006159074015079,0.147641831852358,,0,0,0,0,0
error_10,0,0,,0,0.001524390243902,0.032308743169399,0,0,0,0.001329787234043,0,,,,0.00709219858156,,0.147641831852358,,,,,,
