,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291,0.260540164061291
error_90,0.246493212669683,0.170807453416149,0.173316558830578,0.26260534064372,0.255385202748865,0.261480038948393,0.169981634168262,0,0,0.232398869567011,0,0,0,0.217377653938228,0,0,0.219551282051282,0.197354860872552,0,0,0,0.199758139913012,0.178728461081402
error_80,0.244873857973422,0,0.173316558830578,0.241063393660634,0.236998061478815,0.267373380447585,0.03525641025641,0.184362271188104,0,0.213489651179621,0,0,0,0.203731815306768,0,0,0.191781722550953,0,0.138332189430336,0,0,0,0.004310344827586
error_70,0.20820114502425,0,0.173316558830578,0.167566216891554,0.245992260917634,0.261614401858304,0,0,0,0.190844271592935,0,0,0,0,0,0,0.191781722550953,0,0,0,0,0,0
error_60,0.164564943253468,0,0,0,0.233418367346939,0.268887362637363,0,0,0,0.173989155031809,0,0,0,0.225490196078431,0,0,0.191781722550953,0,0,0,0,0,0
error_50,0,0,0,0,0.22082931533269,0.227598920271249,0,0,0,0.16000484496124,0,,0,0,0,0,0.305732484076433,,0,0,0,0,0
error_40,0.140384615384615,0,0,0,0.237016514558887,0.234724292101341,0,0,0.002762430939226,0,0.058229352347,,0,0,0,0,0.305732484076433,,0.018181818181818,0,0,0,0
error_30,0.128184713375796,0,0,0,0,0,0,0,0,0,0.006578947368421,,,0,0,0,0.305732484076433,,,0,0,0,0
error_20,0,0,0,0,0,0,0,0,0,0,0,,,0,0.083333333333333,0,,,,0,,0,0
error_10,0,0,0,0,0,0.088235294117647,0,0,0,0,0,,,,0.083333333333333,0,,,,0,,0,
