,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error_90,0,0,0,0,0,0,0,0,0.035353535353535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error_80,0,0,0,0,0.094827586206897,0,0,0,0,0.033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
error_70,0,0,0,0,0.095350669818755,0,0,0,0,0.030612244897959,0,0,0,0,0,0,0,0,0,0,0,0,0
error_60,0,0,0,0,0.061224489795919,0,0,0,0,0.035638297872341,0.037037037037037,0,0,,0,0,0,,0.038405797101449,0,0.01219512195122,0,0
error_50,0,0,0,0,0.053191489361702,0.054054054054054,0,0,0,0,0.037037037037037,,0,,0,0,0,,0,0,0,0,0
error_40,0,0,0.09375,0,0,0,0,0.021739130434783,0,0,0,,0,,0,,0,,0,0.014705882352941,0,0,0
error_30,0.026315789473684,0,0.09375,0.017241379310345,0,0,0,0,0,0,0.012820512820513,,,,0,,0.142857142857143,,0,0.035714285714286,0,0,
error_20,0.03125,0.022727272727273,0,0,0,0.029411764705882,0,0,0,0.04,0,,,,0,,0.142857142857143,,0,0.035714285714286,,,
error_10,0.05,0,0,0.2,0,0,,0,0,0.066666666666667,,,,,0,,0.142857142857143,,,,,,
