,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062,0.041954676306062
error_90,0.046905650314445,0.007655314937893,0.062205794156225,0.000457456541629,0.06318620048046,0.042923364219675,0.001935944953044,0.017473215183292,0.006022010193419,0.030528651761204,0.006044360757951,0.014733138377433,0.000296384113811,0.038865778420852,0.055550920932672,0.000409836065574,,0.016325186665725,0.011192271318099,0.00676862745098,0.016907221681989,0.016628813554044,0.016239047019071
error_80,0.049076891864476,0.002743816957154,0.067462314176063,0.000457456541629,0.073219645943335,0.05825821188431,0,0.012858738892333,0.002622112441103,0.019992934660431,0.000619962802232,,0,0.039083398898505,0.042659920760403,0.000409836065574,,,0,0.009305502532749,0.003193487150526,0.004458865179572,0.005093158449829
error_70,0.056944499317381,0.003659574468085,0.072268495835375,0.000457456541629,0.054669019478404,0.061386268343816,0,0.002166064981949,0,0.01405719280318,0.001348617666891,,0,0.049820249356212,0.008868000717875,0.000409836065574,,,0.002846284911157,0.002018795683954,0.00395624751517,0.000992720052945,0.003605529663184
error_60,0.06164895995521,0.003259111954764,0.075784913362339,0.000457456541629,0.030002694152399,0.062025154823469,0,0.011860450585547,0,0.021209642854019,0.0003808073115,,,0.041587087702853,0.008868000717875,0.00050916496945,,,0,0,0.00298298698333,0.001284246575342,0.001959655820845
error_50,0.037053092953714,0.009802532123961,0.029410854632094,0.000457456541629,0.034136041999544,0.063720538720539,0,0.003318584070796,0.000936329588015,0.023289937082031,0,,,0.006824341692861,0.008868000717875,0.00050916496945,,,0.000753012048193,0,0.001187648456057,0.000482625482626,0.000510204081633
error_40,0.042128554665069,0,0.029590557191146,0,0.035759040458289,0.031659803611023,0,0.004615384615385,0,0.014597216555601,0,,,0.013146458061712,0.00417439703154,0.00050916496945,,,0.001295336787565,0,0.001187648456057,0.002768626667998,
error_30,0.009102730819246,0,0.067909520258514,0.001728110599078,0.050879225736096,0.066533371359916,0,0.007125890736342,0,0.017261373362908,0,,,0.013146458061712,0.00130890052356,,,,0.003938134393542,0,0.001187648456057,0,
error_20,0.011970534069982,0,0.087451698189953,0,0.003968253968254,0.053336466165414,0.00187617260788,0.003787878787879,0,0,0,,,,0.003105590062112,,,,,0,0,0,
error_10,0,,0.00314465408805,0,0.012422360248447,0.006644518272425,0,,0,0.009126984126984,0,,,,0.003105590062112,,,,,0,,,
