,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039,0.016777974649039
error_90,0.016703281375318,0,0.021329365079365,0.02085597826087,0.010416666666667,0.010775862068966,0,0.003731343283582,0,0.00591207847541,0.008733624454149,0.006756756756757,0,0.008695652173913,0.002403846153846,0.006122448979592,0.004273504273504,,0.006521739130435,0.00625,0.002136752136752,0,0.002272727272727
error_80,0.009899791838118,0,0.012727714355113,0.00507614213198,0.011627906976744,0.011848341232228,0,0,0,0.01015228426396,0.004807692307692,,,0,0.002403846153846,0.006122448979592,0.004273504273504,,,0.004950495049505,,0.0025,0
error_70,0.006944444444444,0,0.0125,0.00920245398773,0.010526315789474,0.010582010582011,0,0.002717391304348,0,0.010487288135593,0,,,0,0.002403846153846,0.006122448979592,0.004273504273504,,,,,0.00297619047619,
error_60,0.004854368932039,0.002439024390244,0.007692307692308,0.004,0.006172839506173,0.008928571428571,0,0,0,0.012338301462317,0,,,0,0.002403846153846,0.052631578947368,0.004273504273504,,,,,,
error_50,0,0,0.004310344827586,0,0.007407407407407,0.006849315068493,0,0,0,0.005050505050505,0,,,0,0,0.052631578947368,,,,,,,
error_40,0.006289308176101,0.006289308176101,0.00561797752809,0,0,0.012295081967213,0,0,0,0.007142857142857,0,,,,0,0.052631578947368,,,,,,,
error_30,0,0,0.007246376811594,0,0.006329113924051,0.01530612244898,0,0,0,0.011111111111111,0,,,,0,0.052631578947368,,,,,,,
error_20,0,0,0.009090909090909,0,0.011111111111111,0.007142857142857,0,0,0,0.018518518518519,0,,,,0,0.052631578947368,,,,,,,
error_10,0,0,0,0,0,0.05,0,0,0,0.0625,0,,,,0,,,,,,,,
