,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987,0.281330238286987
error_90,0.281261427037994,0.211641449124133,0.239655693144065,0.285650806064592,0.286299680245983,0.27980779281869,0.201617427075542,0.237602339181287,0.214819629509262,0.259287598944591,0.213437292634373,0.207006866416979,0.215449932298192,0.240258149613718,0.252438446969697,0.20329185728517,0.249873949579832,0.225926435696777,0.208433120717046,0.207440539961431,0.21123795404003,0.206244047619048,0.207348250304907
error_80,0.264634146341463,0.124503430841459,0.239655693144065,0.283283283283283,0.273305505863645,0.272140631953716,0.093107978977544,0.223779585798816,0.214819629509262,0.239593195266272,0.13840307289964,0.176588592496205,0.164403357352126,0.207946125347329,0.235119565135215,0.209028104883027,0.258580008580009,0.165655697652867,0.153287186863239,0.148769164986867,0.163283231741945,0.16042430591933,0.144083352140224
error_70,0.260664819944598,0.041349388192853,0.239655693144065,0.29121681199177,0.276165292132767,0.280531365313653,0,0.219161849710983,0.124869051182281,0.218235807692677,0.13840307289964,0.135416075784219,0.164403357352126,0.200795958527917,0.205208637292092,0.174441345259851,0.258580008580009,0.165655697652867,0.112734730815766,0.116457124435848,0.100487173785603,0.13520348611003,0.096920289855073
error_60,0.275696692994459,0.022360348724572,0.239655693144065,0.28710781604961,0.274866436203645,0.259141675839665,0,0.208267446763652,0.124869051182281,0.183975563909774,0.13840307289964,0.135416075784219,0.088347337716052,0.170750452079566,0.185068958303159,0.164762157852777,0.258580008580009,0.165655697652867,0.080581399992014,0.083782569631626,0.078030303030303,0.087120452448759,0.073252032520325
error_50,0.258522727272727,0.001718213058419,0.239655693144065,0.267443340972753,0.242218412028488,0.287708309167537,0,0.218123058038283,0.079133064516129,0.171619585687382,0.089544741742625,,0.088347337716052,0.137433220504873,0.163081983805668,0.18094838348616,0.176005747126437,,0.067222029387944,0.08117002181004,0.085564951844022,0.082729468599034,0.051587301587302
error_40,0.26688690743473,0,0.239655693144065,0.269260355029586,0.261327292110874,0.27755230454617,0,0.21958904109589,0.079133064516129,0.160185185185185,0.044221282593376,,0.032931354359926,0.060885252238902,0.185523114355231,0.208949771689498,0.077998424842484,,0.056093275358866,0.040134803921569,0.049182299182299,0.037952022914429,0.038390663390664
error_30,0.27536231884058,0,0.239655693144065,0.228961395574221,0.272210470650449,0.272465370736818,0,0.264568764568765,0.032931354359926,0.173472048393826,0.04279176201373,,0.032931354359926,0.022364672364673,0.132384532760473,0.252262443438914,0.077998424842484,,0.027384272169548,0.049137104506232,0.014652211249463,0.030926191614857,0.028204396231801
error_20,0.240948275862069,0,0.239655693144065,0.22991239048811,0.280994152046784,0.228760619690155,0,,0.015806298839688,0.15135577372604,0.025428921568628,,,0.015151515151515,0.076468344774981,0.244562647754137,0.046750181554103,,0,0,0.016247193666549,0,0.022352941176471
error_10,0.143333333333333,0,0.072727272727273,0.076811594202899,0.184859990507831,0.205910165484634,0,,0,0.149800598205384,0,,,0.03030303030303,,,,,0,0,0,0,0
