,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037,0.061540487658037
error_90,0.034883720930233,0.003787878787879,0.065292758089368,0.015625,0.05106199843042,0.045317713622516,0,0.003412969283277,0,0.060336134453782,0,0.005364281108962,0,0.043565028509367,0.048087431693989,,0.001683501683502,0.011154714546823,0.007194244604317,0.017361111111111,0.003623188405797,0,0.003424657534247
error_80,0.015392674376436,0.005952380952381,0.017865143369176,0.015625,0,0.045317713622516,0,0.001760563380282,0,0.056461876663196,0,,0,0.020555001661682,0,,0.001683501683502,,0,0.015151515151515,0,0,0
error_70,0.013157894736842,0,0.017865143369176,0.015625,0,0.039227642276423,0,0,0,0.048586371560676,0,,,0,0.001766784452297,,0.001683501683502,,0,,0,0,
error_60,,,0,0.015625,0,0,0,0,0,0.058085528178986,0,,,,0,,0.010791366906475,,0,,0,0,
error_50,,,0,0.015625,0,0,0,0,,0.056730769230769,,,,,0.074074074074074,,,,0,,0.016129032258065,,
error_40,,,,0.015625,0.005714285714286,0,0,,,0,,,,,0.074074074074074,,,,0,,0.032258064516129,,
error_30,,,,0.015625,0.003846153846154,0,0,,,0.031007751937985,,,,,0.074074074074074,,,,0,,0.032258064516129,,
error_20,,,,0,0,0,0,,,0,,,,,0.074074074074074,,,,0,,0.032258064516129,,
error_10,,,,,0.042553191489362,0.013888888888889,0,,,0.020833333333333,,,,,0.074074074074074,,,,,,0.032258064516129,,
