,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984,0.002163956225984
error_90,0.002401693531395,0.001833362134446,0,0.001666323959715,0.00055720653789,0,0.002289615079788,0,0,0,0.000558451228593,,,0.001343637152641,0.003456221198157,,,,0,0,,,0
error_80,0.003500829445453,0.000998003992016,0,0.002283105022831,0.000209731543624,0,0.002499373556886,0,0,0,0,,,0,0.003456221198157,,,,0,,,,0
error_70,0.0042440200374,0.001071645065381,0,0.000482625482626,0.000242836328315,0,0.000180505415162,0,0,0,0,,,0,0.003456221198157,,,,,,,,
error_60,0.003015850274011,0.000198491464867,0,0.000564334085779,0,0,0,0,0,0,0,,,0.000333111259161,0.003456221198157,,,,,,,,
error_50,0.002941878102101,0,0,0.000340831629175,0,0,0,0,0,0,0,,,0.000333111259161,0.002718247426457,,,,,,,,
error_40,0.002815050650021,0,0,0.000850340136054,0,0,0,0,0,0,0,,,0.000666222518321,0.002718247426457,,,,,,,,
error_30,0.003175881195205,0,0,0,0,0,0,0,0,0,0,,,0.000666222518321,0.002718247426457,,,,,,,,
error_20,0.005476566466303,0,0,0.001666671296309,0,0,0,0,0,0,0,,,,0.002718247426457,,,,,,,,
error_10,0.005586592178771,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
