,CL,CLD,F1_HD,F2_HD,F3_HD,F4_HD,L1_HD,N2_HD,LSC,LSradius,U,H,kdn,DS,TDU,DCP,TDP,N1_HD,host_4,host_5,host_6,host_7,host_8
error_total,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202,0.337659181491202
error_90,0.309860047307952,0.227692307692308,0,0,0.33626679953675,0.318330089267736,0.262125162972621,0,0,0.315800610428582,0,0,0,0,0.301994301994302,0,0,0,0,0.282821870441407,0.258928571428571,0.252455833818676,0
error_80,0.323069094992455,0.167243778786573,0,0,0.339572613672162,0.31926453143535,0.155970073289902,0,0,0.300150621922778,0,0,0,0,0.314104019986373,0.012594837157661,0,0,0,0,0,0,0
error_70,0.324763816721776,0,0,0,0.334429824561403,0.31926453143535,0.058584893077847,0,0,0.276863920204518,0,0,0,0.236047965446692,0.311816285702124,0.012594837157661,0,0,0,0.156172760861256,0,0,0
error_60,0,0,0,0,0.314017857142857,0,0.288770053475936,0,0,0.219575342069484,0,0,0.026315789473684,0.207413695529145,0.515235457063712,0,0,0,0,0,0,0,0
error_50,0,0,0,0,0.318225087620614,0.462540716612378,0,0,0.039912280701755,0,0,0,0.026315789473684,0.182282576305819,0,0,0,0,0,0,0,0,0
error_40,0,0,0,0,0,0,0,0,0.039912280701755,0.242834138486312,0,,0.026315789473684,0.490384615384615,0.303763440860215,0,,0,0,0,0,0,0
error_30,0,0,0,0,0,0,0,0,0,0,0,,0,0.118846694796062,0.28215811965812,0,,,0,0,0,0,0
error_20,0,0,0,0,0.054827940421161,0,0,0,0,0,0,,0,0.060606060606061,0,0,,,0,0,0,0,0
error_10,0.07936507936508,0,0,0,0,0,0,0,0,0.013513513513514,0,,0,0.020833333333333,0,0,,,0,,0,0,0
